S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
129,QUEENSTOWN CC,1. Permanent E-bin,"365 COMMONWEALTH AVE, MAIN ENTRANCE",149732,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
130,RAFFLES CITY SHOPPING CENTRE,1. Permanent E-bin,252 NORTH BRIDGE RD,179103,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
131,REPAIR KOPITIAM,1. Permanent E-bin,"565 PASIR RIS ST 51, REPAIR KOPITIAM, VOID DECK",510565,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
132,REPUBLIC POLYTECHNIC,1. Permanent E-bin,"9 WOODLANDS AVENUE 9, REPUBLIC POLYTECHNIC,  W3, LEVEL 3 FOODCOURT (UNDER RENOVATION)",738964,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
133,RESORT WORLD SENTOSA,1. Permanent E-bin,"8 SENTOSA GATEWAY, BESIDE DIN TAI FUNG RESTAURANT (#01-217)",98269,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
134,REVENUE HOUSE (LEVEL 2),1. Permanent E-bin,"55 NEWTON RD, LEVEL 2",307987,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
135,RIVERVALE ARC RC,1. Permanent E-bin,"180C RIVERVALE CRESCENT, RIVERVALE ARC RC, #01-367, VOID DECK",543180,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
136,RIVERVALE COURT RC,1. Permanent E-bin,"110 RIVERVALE WALK, RIVERVALE COURT RC, VOID DECK",540110,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
137,RIVERVALE PLAZA,1. Permanent E-bin,"118 RIVERVALE DRIVE, RIVERVALE PLAZA, MAIN LOBBY",540118,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
138,RIVERVALE SPRING RC,1. Permanent E-bin,"135 RIVERVALE STREET, RIVERVALE SPRING RC, #01-730, VOID DECK",540135,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
139,RIVERVALE VISTA RC,1. Permanent E-bin,"188B RIVERVALE DRIVE, RIVERVALE VISTA RC, 01-1076, VOID DECK",542188,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
140,SEMBAWANG MART,1. Permanent E-bin,"511 CANBERRA ROAD, SEMBAWANG MART, MAIN LOBBY",750511,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
141,SERANGOON CC,1. Permanent E-bin,"10 SERANGOON NORTH AVENUE 2, ATM LOBBY AREA",555877,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
142,SIGLAP EAST RC,1. Permanent E-bin,"167 BEDOK SOUTH AVE 3, #01-501",460167,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
143,SIGLAP LUCKY VALLEY RC,1. Permanent E-bin,"71 BEDOK SOUTH ROAD, #01-250",460071,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
144,SIM LIM SQUARE,1. Permanent E-bin,"1 ROCHOR CANAL RD, SIM LIM SQUARE, LOADING BAY",188504,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
145,SINGLIFE WITH AVIVA,1. Permanent E-bin,"18 ROBINSON ROAD, #04-03",48547,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
146,SIT @ DOVER,1. Permanent E-bin,"10 DOVER DRIVE, SIT @ DOVER, MAIN LOBBY",138683,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
147,STAGMONT VIEW RC,1. Permanent E-bin,753 CHOA CHU KANG NORTH 5,680753,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
148,SUNSHINE PLACE @ 475 CHOA CHU KANG AVENUE 3,1. Permanent E-bin,"475 CHOA CHU KANG AVENUE 3, WALKWAY CORRIDOR",680475,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
149,TAMAN JURONG SHOPPING CENTRE,1. Permanent E-bin,"399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE, COMMON CORRIDOR",610399,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
150,TAMPINES CHANGKAT CC,1. Permanent E-bin,"13 TAMPINES STREET 11, MAIN ENTRANCE",529453,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
151,TAMPINES CHANGKAT ZONE 4 RN,1. Permanent E-bin,"285 TAMPINES STREET 22, TAMPINES CHANGKAT ZONE 4 RC, VOID DECK",520285,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
152,TAMPINES CHANGKAT ZONE 5 RN,1. Permanent E-bin,"124 TAMPINES STREET 11, TAMPINES CHANGKAT ZONE 5 RC, VOID DECK",521124,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
153,TAMPINES CHANGKAT ZONE 8 RN,1. Permanent E-bin,"364 TAMPINES STREET 34, TAMPINES CHANGKAT ZONE 8 RC, VOID DECK",520364,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
154,TAMPINES COURTVIEW RC,1. Permanent E-bin,"730 TAMPINES STREET 71, TAMPINES COURTVIEW RC, VOID DECK",520730,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
155,TAMPINES EAST ZONE 3 RN,1. Permanent E-bin,"232 TAMPINES STREET 21, #01-639, VOID DECK",521232,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
156,TAMPINES GREENVALE RC,1. Permanent E-bin,"736 TAMPINES STREET 72, TAMPINES GREENVALE RC, VOID DECK",520736,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
157,TAMPINES NORTH ZONE 3 RC,1. Permanent E-bin,"430 TAMPINES STREET 41, TAMPINES NORTH ZONE 3 RC, VOID DECK",520430,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
158,TAMPINES SPRING RN,1. Permanent E-bin,"880 TAMPINES AVENUE 8, TAMPINES SPRING RN, VOID DECK",520880,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
159,TAMPINES VILLE RN,1. Permanent E-bin,"842 TAMPINES STREET 82, TAMPINES VILLE RN, VOID DECK",520842,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
160,TANJONG PAGAR CC,1. Permanent E-bin,101 CANTONMENT ROAD,89774,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
161,TECK GHEE CC,1. Permanent E-bin,"861 ANG MO KIO AVENUE 10, REAR ENTRANCE",569734,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
162,TELOK BLANGAH CC,1. Permanent E-bin,"450 TELOK BLANGAH STREET 31, TELOK BLANGAH CC, RECEPTION AREA",108943,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
163,TEMASEK POLYTECHNIC,1. Permanent E-bin,"21 TAMPINES AVENUE 1, TEMASEK POLYTECHNIC, MAIN ENTRANCE FOYER",529757,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
164,THE CATHAY,1. Permanent E-bin,"2 HANDY RD, THE CATHAY, LOADING BAY",229233,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
165,THE CENTREPOINT,1. Permanent E-bin,"176 ORCHARD ROAD, LEVEL 3",238843,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
166,THE GRANDSTAND (TURF CITY),1. Permanent E-bin,"200 TURF CLUB ROAD DBS THE GRANDSTAND, THE GRANDSTAND (TURF CITY), MAIN LOBBY CONCEIRGE",287994,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
167,THE REGENCY HOUSE - ALFA TECH,1. Permanent E-bin,"123 PENANG ROAD, THE REGENCY HOUSE, LEVEL 1",238465,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
168,THE URA CENTRE,1. Permanent E-bin,45 MAXWELL RD,69118,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
169,THOMSON PLAZA,1. Permanent E-bin,"301 UPPER THOMSON ROAD, THOMSON PLAZA, MAIN ENTRANCE",574408,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
170,TOA PAYOH CENTRAL CC,1. Permanent E-bin,"93 TOA PAYOH CENTRAL, MAIN ENTRANCE",319194,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
171,TOA PAYOH EAST CC,1. Permanent E-bin,"160 LORONG 6 TOA PAYOH, MAIN ENTRANCE",319380,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
172,TOA PAYOH SOUTH CC,1. Permanent E-bin,"1999 LORONG 8 TOA PAYOH, MAIN ENTRANCE",319258,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
173,TOA PAYOH VIEW RC,1. Permanent E-bin,"122 LORONG 2 TOA PAYOH VIEW RC, READING CORNER",310122,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
174,TOA PAYOH WEST CC,1. Permanent E-bin,"200 LORONG 2 TOA PAYOH, SIDE OF BUILDING",319642,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
175,ULU PANDAN CC,1. Permanent E-bin,"170 GHIM MOH ROAD, CORRIDOR WALKWAY",279621,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
176,UTOWN - STEPHEN RIADY CENTRE,1. Permanent E-bin,"2 COLLEGE AVE WEST, UTOWN - STEPHEN RIADY CENTRE, LEVEL 1 IN FRONT OF WAACOW RESTAURANT",138607,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
177,VALLEY POINT,1. Permanent E-bin,"491 RIVER VALLEY ROAD, VALLEY POINT, #03-01",248371,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
178,VISTA POINT,1. Permanent E-bin,"548 WOODLANDS DRIVE 44, LEVEL 1",730548,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
179,WEST COAST CC,1. Permanent E-bin,"2 CLEMENTI WEST STREET 2, WALKWAY CORRIDOR",129605,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
180,WESTWOOD PRIMARY SCHOOL,1. Permanent E-bin,"1 JURONG WEST ST 71, SECURITY GUARD POST",642648,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
181,WHAMPOA CC,1. Permanent E-bin,"300 WHAMPOA DRIVE, BESIDE CONSTITUENCY OFFICE",327737,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
182,WISMA GEYLANG SERAI CC,1. Permanent E-bin,"1 ENGKU AMAN TURN, CC OFFICE ENTRANCE",408528,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
183,WISTERIA MALL,1. Permanent E-bin,"598 YISHUN RING RD, WISTERIA MALL, BASEMENT 1 CARGO LIFT LOBBY",768698,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
184,WOODGROVE CC,1. Permanent E-bin,"353 WOODLANDS AVENUE 1, WOODGROVE CC, VOID DECK",730353,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
185,WOODLANDS CC,1. Permanent E-bin,"1 WOODLANDS STREET 81, WOODLANDS CC, MAIN ENTRANCE LOBBY",738526,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
186,WOODLANDS GALAXY CC,1. Permanent E-bin,"31 WOODLANDS AVENUE 6, WOODLANDS GALAXY CC, CC OFFICE ENTRANCE",738991,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
187,WOODLANDS MART,1. Permanent E-bin,"768 WOODLANDS AVENUE 6, WOODLANDS MART, MAIN LOBBY",730768,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
188,WOODLANDS PARK NC,1. Permanent E-bin,18 JALAN RASOK,739633,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
189,WOODLANDS ZONE 2 RN,1. Permanent E-bin,"846 WOODLANDS AVENUE 4, WOODLANDS ZONE 2 RN, VOID DECK",730846,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
190,WOODLANDS ZONE 3 RN,1. Permanent E-bin,"876 WOODLANDS STREET 83, WOODLANDS ZONE 3 RN, VOID DECK",730876,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
191,WOODLANDS ZONE 4 RN,1. Permanent E-bin,"862 WOODLANDS STREET 83, WOODLANDS ZONE 4 RN, #01-184, VOID DECK",730862,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
192,WOODLANDS ZONE 7 RN,1. Permanent E-bin,"611 WOODLANDS RING ROAD, WOODLANDS ZONE 7 RN, VOID DECK",730611,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
193,WOODLANDS ZONE 8 RN,1. Permanent E-bin,"638 WOODLANDS RING ROAD, WOODLANDS ZONE 8 RN, VOID DECK",730638,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
194,WOODLANDS ZONE 9 RN,1. Permanent E-bin,"656 WOODLANDS RING ROAD, WOODLANDS ZONE 9 RN, VOID DECK",730656,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
195,YEW TEE CC,1. Permanent E-bin,"20 CHOA CHU KANG STREET 52, YEW TEE CC, MAIN ATRIUM",689286,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
196,YEW TEE SQUARE,1. Permanent E-bin,"624 CHOA CHU KANG STREET 62, YEW TEE SQUARE, REAR ENTRANCE",680622,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
197,YIO CHU KANG CC,1. Permanent E-bin,"50 ANG MO KIO STREET 61, MAIN LOBBY",569163,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
198,YUHUA CC,1. Permanent E-bin,"90 BOON LAY WAY, MAIN LOBBY",609958,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
199,YUSOF ISHAK INSTITUTE,1. Permanent E-bin,"30 HENG MUI KENG TERRACE, LEVEL 1",119614,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
200,ZHONGSHAN MALL,1. Permanent E-bin,"20 AH HOOD ROAD, ZHONGSHAN MALL",329984,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
201,COLD STORAGE @ APERIA,2. Retailer E-bin,"12 KALLANG AVE, APERIA, #01-47",339511,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
202,COLD STORAGE @ BUGIS JUNCTION,2. Retailer E-bin,"230 VICTORIA STREET, BUGIS JUNCTION, #B1-17",188021,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
203,COLD STORAGE @ CLUNY COURT,2. Retailer E-bin,"501 BUKIT TIMAH ROAD, CLUNY COURT, #01-02",259760,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
204,COLD STORAGE @ COMPASS ONE,2. Retailer E-bin,"1 SENGKANG SQUARE, COMPASS ONE, #B1-25",545078,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
205,COLD STORAGE @ GREAT WORLD CITY,2. Retailer E-bin,"1 KIM SENG PROMENADE, GREAT WORLD CITY, #B1-18",237994,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
206,COLD STORAGE @ GUTHRIE HOUSE,2. Retailer E-bin,"1 FIFTH AVENUE, GUTHRIE HOUSE, #01-05",268802,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
207,COLD STORAGE @ HILLVIEW MARKET PLACE,2. Retailer E-bin,"4 HILLVIEW RISE, HILLVIEW MARKET PLACE, #02-07",667979,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
208,COLD STORAGE @ JELITA SHOPPING CENTRE,2. Retailer E-bin,"293 HOLLAND ROAD, JELITA SHOPPING CENTRE, #01-01",278628,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
209,COLD STORAGE @ KALLANG LEISURE PARK,2. Retailer E-bin,"5 STADIUM WALK, KALLANG LEISURE PARK, #B1-01",397693,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
210,COLD STORAGE @ MARINA ONE,2. Retailer E-bin,"5 STRAITS VIEW, #B2-15",18935,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
211,COLD STORAGE @ NOVENA SQUARE,2. Retailer E-bin,"238 THOMSON ROAD, NOVENA SQUARE, #01-28",307683,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
212,COLD STORAGE @ ONE NORTH,2. Retailer E-bin,"1 FUSIONOPOLIS WAY, ONE NORTH, #B2-03",138632,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
213,COLD STORAGE @ PARAGON,2. Retailer E-bin,"290 ORCHARD ROAD, #B1-21",238859,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
214,COLD STORAGE @ PARKWAY PARADE,2. Retailer E-bin,"80 MARINE PARADE ROAD, #B1-84",449269,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
215,COLD STORAGE @ PLAZA SINGAPURA,2. Retailer E-bin,"68 ORCHARD ROAD, #B2-15",238839,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
216,COLD STORAGE @ RAFFLES CITY SHOPPING CENTRE,2. Retailer E-bin,"1 STAMFORD ROAD, RAFFLES CITY SHOPPING CENTRE, #B1-01",179103,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
217,COLD STORAGE @ SIGLAP V,2. Retailer E-bin,"2 FIRST STREET, #01-05",458278,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
218,COLD STORAGE @ TANGLIN MALL,2. Retailer E-bin,"163 TANGLIN ROAD, TANGLIN MALL, #B1-01",247933,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
219,COLD STORAGE @ THE STAR VISTA,2. Retailer E-bin,"1 VISTA EXCHANGE GREEN, THE STAR VISTA, #B1-02",138617,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
220,COLD STORAGE @ UE SQUARE,2. Retailer E-bin,"81 CLEMENCEAU AVENUE, UE SQUARE, #02-15",239917,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
221,COLD STORAGE @ UNITED SQUARE,2. Retailer E-bin,"101 THOMSON ROAD, UNITED SQUARE, #B1-29",307591,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
222,COLD STORAGE @ WEST COAST PLAZA,2. Retailer E-bin,"154 WEST COAST ROAD, WEST COAST PLAZA, #B1-19",127371,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
223,FAIRPRICE @ 10 BUKIT BATOK CENTRAL,2. Retailer E-bin,"10 BUKIT BATOK CENTRAL, #01-08",659958,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
224,FAIRPRICE @ 100AM,2. Retailer E-bin,"100 TRAS ST, 100AM, #B1-01",79027,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
225,FAIRPRICE @ 111 SOMERSET RD,2. Retailer E-bin,"111 SOMERSET RD, #01-21 TO 30",238164,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
226,FAIRPRICE @ 114 ALJUNIED AVE 2,2. Retailer E-bin,"114 ALJUNIED AVE 2, #01-75",380114,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
227,FAIRPRICE @ 135 JURONG GATEWAY RD,2. Retailer E-bin,"135 JURONG GATEWAY RD, #01-337",600135,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
228,FAIRPRICE @ 140 TECK WHYE LANE,2. Retailer E-bin,"140 TECK WHYE LANE, #01-351",680140,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
229,FAIRPRICE @ 166 BUKIT MERAH CENTRAL,2. Retailer E-bin,"166 BUKIT MERAH CENTRAL, #01-3531 & 02-3531",150166,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
230,FAIRPRICE @ 18 TAI SENG ST MAPLE TREE,2. Retailer E-bin,"18 TAI SENG ST MAPLE TREE 18, #B1-13",539775,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
231,FAIRPRICE @ 192 TOA PAYOH LOR 4,2. Retailer E-bin,"192 TOA PAYOH LOR 4, #01-670/672",310192,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
232,FAIRPRICE @ 202 HOUGANG ST 21,2. Retailer E-bin,"202 HOUGANG ST 21, #01-00",530202,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
233,FAIRPRICE @ 212 BEDOK NTH ST,2. Retailer E-bin,"212 BEDOK NTH ST 1, #01-147",460212,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
234,FAIRPRICE @ 28 DOVER CRESCENT,2. Retailer E-bin,"28 DOVER CRESCENT,  28 DOVER CRESCENT, #01-83",130028,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
235,FAIRPRICE @ 29B CHAI CHEE AVENUE,2. Retailer E-bin,"29B CHAI CHEE AVENUE, #01-62",462029,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
236,FAIRPRICE @ 345 JURONG EAST ST 31,2. Retailer E-bin,"345 JURONG EAST ST 31, #01-29",600345,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
237,FAIRPRICE @ 355 SEMBAWANG WAY,2. Retailer E-bin,"355 SEMBAWANG WAY, #01-01",750355,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
238,FAIRPRICE @ 36 HOLLAND DR,2. Retailer E-bin,"36 HOLLAND DR, #01-03/04/05",270036,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
239,FAIRPRICE @ 414 YISHUN RING RD,2. Retailer E-bin,"414 YISHUN RING RD, #01-185",760414,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
240,FAIRPRICE @ 451 AVE 3,2. Retailer E-bin,"451 CLEMENTI AVE 3,  451 AVE 3, #01-307",120451,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
241,FAIRPRICE @ 460 ALEXANDRA RD,2. Retailer E-bin,"460 ALEXANDRA RD, 460 ALEXANDRA RD, #01-09 AND #01-16",119963,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
242,FAIRPRICE @ 475 TAMPINES ST44,2. Retailer E-bin,"475 TAMPINES ST 44, #01-145",520475,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
243,FAIRPRICE @ 5 UPPER BOON KENG RD,2. Retailer E-bin,"5 UPPER BOON KENG RD, #01-05",80005,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
244,FAIRPRICE @ 50 HAVELOCK RD,2. Retailer E-bin,"50 HAVELOCK RD,  50 HAVELOCK RD, #01-755",160050,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
245,FAIRPRICE @ 500 LOR 6 TOA PAYOH,2. Retailer E-bin,"500 LOR 6 TOA PAYOH, #B1-32/#01-33",310500,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
246,FAIRPRICE @ 502 WEST COAST DR,2. Retailer E-bin,"502 WEST COAST DR,  502 WEST COAST DR, #01-41",120502,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
247,FAIRPRICE @ 51 UPPER SERANGOON RD,2. Retailer E-bin,"51 UPPER SERANGOON RD, THE POIZ CENTRE, #01-30 TO 32, 41 TO 49",347697,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
248,FAIRPRICE @ 510 BISHAN ST 13,2. Retailer E-bin,"510 BISHAN ST 13, #01-520",570510,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
249,FAIRPRICE @ 511 CANBERRA RD,2. Retailer E-bin,"511 CANBERRA RD, #02-03",750511,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
250,FAIRPRICE @ 6 MARINE PARADE CENTRAL,2. Retailer E-bin,6 MARINE PARADE CENTRAL,449411,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
251,FAIRPRICE @ 612/620 GEYLANG LOR 38,2. Retailer E-bin,612/620 GEYLANG LOR 38,389551,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
252,FAIRPRICE @ 66 YUNG KANG RD,2. Retailer E-bin,"63/66 YUNG KUANG RD,  66 YUNG KANG RD, #01-119 AND #02-119",610063,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
253,FAIRPRICE @ 71 KALLANG BAHRU,2. Retailer E-bin,"71 KALLANG BAHRU, #01-529/#02-531",330071,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
254,FAIRPRICE @ 712 ANG MO KIO,2. Retailer E-bin,"712 ANG MO KIO AVE 6,  712 ANG MO KIO, #01-4056",560712,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
255,FAIRPRICE @ 80 LORONG LIMAU,2. Retailer E-bin,"80 LORONG LIMAU, #01-19",320080,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
256,FAIRPRICE @ 808 FRENCH RD,2. Retailer E-bin,"808 FRENCH RD #01-01, #01-01",200808,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
257,FAIRPRICE @ 849 YISHUN RING RD,2. Retailer E-bin,"849 YISHUN RING RD, #01-370",760849,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
258,FAIRPRICE @ 866A TAMPINES ST 83,2. Retailer E-bin,"866A TAMPINES ST 83, #01-01",521866,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
259,FAIRPRICE @ 888 WOODLANDS DR 50,2. Retailer E-bin,"888 WOODLANDS DR 50, #01-757",730888,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
260,FAIRPRICE @ BEDOK MALL,2. Retailer E-bin,"311 NEW UPPER CHANGI RD, BEDOK MALL, #B2-60",467360,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
261,FAIRPRICE @ BOON LAY SHOPPING CENTRE,2. Retailer E-bin,"221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200",640221,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
262,FAIRPRICE @ BUKIT PANJANG PLAZA,2. Retailer E-bin,"1 JELEBU RD, BUKIT PANJANG PLAZA, #01-15 & #02-20",677743,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
263,FAIRPRICE @ BUKIT TIMAH PLAZA,2. Retailer E-bin,"1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-01 & #B2-01",588996,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,
