"""S/N""","""E-waste Collection Points""","""Collection Type""","""Location""","""Postal Code""","""poster""","""Remarks""","""Website""","""lat""","""lng"""
28,"""CANBERRA PLAZA""","""1. Permanent E-bin""","""133 CANBERRA VIEW, LEVEL 1""",750133,750133,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.443495445,103.8303454
29,"""CAPITALAND JCUBE""","""1. Permanent E-bin""","""2 JURONG EAST CENTRAL 1, REAR ENTRANCE""",609731,609731,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.333263518,103.7403175
30,"""CAPITALAND TAMPINES MALL""","""1. Permanent E-bin""","""4 TAMPINES CENTRAL 5, CUSTOMER SERVICE COUNTER""",529510,529510,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.352504683,103.9446826
31,"""CAUSEWAY POINT""","""1. Permanent E-bin""","""1 WOODLANDS SQUARE, MAIN ENTRANCE""",738099,738099,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.435900079,103.7857958
32,"""CENTRAL PLAZA""","""1. Permanent E-bin""","""298 TIONG BAHRU ROAD, COMMON CORRIDOR (LETTERBOX)""",168730,168730,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.286299372,103.8280935
33,"""CHANGI GENERAL HOSPITAL""","""1. Permanent E-bin""","""2 SIMEI STREET 3, CHANGI GENERAL HOSPITAL, B1 MAIN BUILDING LOBBY D""",529889,529889,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.340695382,103.9494212
35,"""CI YUAN CC""","""1. Permanent E-bin""","""51 HOUGANG AVENUE 9, MAIN LOBBY""",538776,538776,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.375322538,103.8829319
36,"""CITY PLAZA""","""1. Permanent E-bin""","""810 GEYLANG RD, LEVEL 1""",409286,409286,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.314708663,103.8935086
37,"""CITY SQUARE MALL @ 180 KITCHENER ROAD""","""1. Permanent E-bin""","""180 KITCHENER ROAD, B4 BESIDE TRAVELLATOR LOBBY""",208539,208539,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.311305171,103.8564218
38,"""CLEMENTI CC""","""1. Permanent E-bin""","""220 CLEMENTI AVENUE 4, MAIN ENTRANCE""",129880,129880,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.318815194,103.7681537
40,"""COMPASS ONE""","""1. Permanent E-bin""","""1 SENGKANG SQUARE, #B1-52/53, MRT EXIT/ENTRANCE""",545078,545078,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.392053142,103.8950705
41,"""COMPASSVALE SOUTHGATE RC""","""1. Permanent E-bin""","""201B COMPASSVALE DRIVE, COMPASSVALE SOUTHGATE RC, #01-545, VOID DECK""",542201,542201,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.388313116,103.8939236
42,"""COMPASSVALE VILLA RC""","""1. Permanent E-bin""","""206C COMPASSVALE LANE, COMPASSVALE VILLA RC, VOID DECK""",543206,543206,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.386818298,103.8975474
