"""S/N""","""E-waste Collection Points""","""Collection Type""","""Location""","""Postal Code""","""poster""","""Remarks""","""Website""","""lat""","""lng"""
120,"""PIONEER ZONE 12 RN""","""1. Permanent E-bin""","""653A JURONG WEST ST 61, PIONEER ZONE 12 RN, #01-422, VOID DECK""",641653,641653,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.336891377,103.6966388
121,"""PIONEER ZONE 9 RN""","""1. Permanent E-bin""","""602 JURONG WEST ST 65, VOID DECK""",640602,640602,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.339253398,103.7002192
122,"""POTONG PASIR CC""","""1. Permanent E-bin""","""6 POTONG PASIR AVENUE 2, CONSTITUENCY OFFICE""",358361,358361,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.332582969,103.8671398
123,"""PUNGGOL 21 CC""","""1. Permanent E-bin""","""80 PUNGGOL FIELD, PUNGGOL 21 CC, MAIN LOBBY""",828815,828815,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.393443165,103.9136646
124,"""PUNGGOL CLOVER RN""","""1. Permanent E-bin""","""204A PUNGGOL FIELD, PUNGGOL CLOVER RN, #01-288, VOID DECK""",821204,821204,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.398778276,103.9029109
125,"""PUNGGOL OASIS RC""","""1. Permanent E-bin""","""176C EDGEFIELD PLAINS, PUNGGOL OASIS RC, #01-569, VOID DECK""",821175,821175,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.397404216,103.9089737
126,"""PUNGGOL PARC TERRACE RN""","""1. Permanent E-bin""","""312B SUMANG LINK, #01-171""",823312,823312,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.410907281,103.9011861
127,"""PUNGGOL VISTA CC""","""1. Permanent E-bin""","""602 PUNGGOL CENTRAL, PUNGGOL VISTA CC, MAIN ENTRANCE""",820602,820602,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.403284292,103.9072886
128,"""PUNGGOL WEST CC""","""1. Permanent E-bin""","""259C PUNGGOL FIELD, PUNGGOL WEST CC, VOID DECK""",823259,823259,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.404534086,103.8956655
129,"""QUEENSTOWN CC""","""1. Permanent E-bin""","""365 COMMONWEALTH AVE, MAIN ENTRANCE""",149732,149732,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299150242,103.8013051
130,"""RAFFLES CITY SHOPPING CENTRE""","""1. Permanent E-bin""","""252 NORTH BRIDGE RD""",179103,179103,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.293760281,103.8527683
131,"""REPAIR KOPITIAM""","""1. Permanent E-bin""","""565 PASIR RIS ST 51, REPAIR KOPITIAM, VOID DECK""",510565,510565,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.36882714,103.9502962
132,"""REPUBLIC POLYTECHNIC""","""1. Permanent E-bin""","""9 WOODLANDS AVENUE 9, REPUBLIC POLYTECHNIC,  W3, LEVEL 3 FOODCOURT (UNDER RENOVATION)""",738964,738964,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.443782044,103.7843188
134,"""REVENUE HOUSE (LEVEL 2)""","""1. Permanent E-bin""","""55 NEWTON RD, LEVEL 2""",307987,307987,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.31948959,103.8419753
135,"""RIVERVALE ARC RC""","""1. Permanent E-bin""","""180C RIVERVALE CRESCENT, RIVERVALE ARC RC, #01-367, VOID DECK""",543180,543180,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.389491502,103.9096604
136,"""RIVERVALE COURT RC""","""1. Permanent E-bin""","""110 RIVERVALE WALK, RIVERVALE COURT RC, VOID DECK""",540110,540110,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.383492335,103.9003124
137,"""RIVERVALE PLAZA""","""1. Permanent E-bin""","""118 RIVERVALE DRIVE, RIVERVALE PLAZA, MAIN LOBBY""",540118,540118,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.385553097,103.9019607
138,"""RIVERVALE SPRING RC""","""1. Permanent E-bin""","""135 RIVERVALE STREET, RIVERVALE SPRING RC, #01-730, VOID DECK""",540135,540135,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.388141051,103.905022
139,"""RIVERVALE VISTA RC""","""1. Permanent E-bin""","""188B RIVERVALE DRIVE, RIVERVALE VISTA RC, 01-1076, VOID DECK""",542188,542188,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.394540687,103.905459
140,"""SEMBAWANG MART""","""1. Permanent E-bin""","""511 CANBERRA ROAD, SEMBAWANG MART, MAIN LOBBY""",750511,750511,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.45384519,103.8195433
141,"""SERANGOON CC""","""1. Permanent E-bin""","""10 SERANGOON NORTH AVENUE 2, ATM LOBBY AREA""",555877,555877,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.370054869,103.8739276
142,"""SIGLAP EAST RC""","""1. Permanent E-bin""","""167 BEDOK SOUTH AVE 3, #01-501""",460167,460167,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.319639686,103.9449652
143,"""SIGLAP LUCKY VALLEY RC""","""1. Permanent E-bin""","""71 BEDOK SOUTH ROAD, #01-250""",460071,460071,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.320416017,103.9427323
144,"""SIM LIM SQUARE""","""1. Permanent E-bin""","""1 ROCHOR CANAL RD, SIM LIM SQUARE, LOADING BAY""",188504,188504,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.302906588,103.8530319
146,"""SIT @ DOVER""","""1. Permanent E-bin""","""10 DOVER DRIVE, SIT @ DOVER, MAIN LOBBY""",138683,138683,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.301008738,103.7801253
147,"""STAGMONT VIEW RC""","""1. Permanent E-bin""","""753 CHOA CHU KANG NORTH 5""",680753,680753,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.392340906,103.7469436
148,"""SUNSHINE PLACE @ 475 CHOA CHU KANG AVENUE 3""","""1. Permanent E-bin""","""475 CHOA CHU KANG AVENUE 3, WALKWAY CORRIDOR""",680475,680475,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.377897277,103.7390155
149,"""TAMAN JURONG SHOPPING CENTRE""","""1. Permanent E-bin""","""399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE, COMMON CORRIDOR""",610399,610399,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.334844875,103.720462
150,"""TAMPINES CHANGKAT CC""","""1. Permanent E-bin""","""13 TAMPINES STREET 11, MAIN ENTRANCE""",529453,529453,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.34581335,103.9476878
151,"""TAMPINES CHANGKAT ZONE 4 RN""","""1. Permanent E-bin""","""285 TAMPINES STREET 22, TAMPINES CHANGKAT ZONE 4 RC, VOID DECK""",520285,520285,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.350010742,103.9528161
152,"""TAMPINES CHANGKAT ZONE 5 RN""","""1. Permanent E-bin""","""124 TAMPINES STREET 11, TAMPINES CHANGKAT ZONE 5 RC, VOID DECK""",521124,521124,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.345184289,103.9497933
153,"""TAMPINES CHANGKAT ZONE 8 RN""","""1. Permanent E-bin""","""364 TAMPINES STREET 34, TAMPINES CHANGKAT ZONE 8 RC, VOID DECK""",520364,520364,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.35693801,103.9598735
154,"""TAMPINES COURTVIEW RC""","""1. Permanent E-bin""","""730 TAMPINES STREET 71, TAMPINES COURTVIEW RC, VOID DECK""",520730,520730,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.356706065,103.9334992
155,"""TAMPINES EAST ZONE 3 RN""","""1. Permanent E-bin""","""232 TAMPINES STREET 21, #01-639, VOID DECK""",521232,521232,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.356410193,103.9487017
156,"""TAMPINES GREENVALE RC""","""1. Permanent E-bin""","""736 TAMPINES STREET 72, TAMPINES GREENVALE RC, VOID DECK""",520736,520736,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.359041598,103.9343834
157,"""TAMPINES NORTH ZONE 3 RC""","""1. Permanent E-bin""","""430 TAMPINES STREET 41, TAMPINES NORTH ZONE 3 RC, VOID DECK""",520430,520430,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.359552581,103.9501482
158,"""TAMPINES SPRING RN""","""1. Permanent E-bin""","""880 TAMPINES AVENUE 8, TAMPINES SPRING RN, VOID DECK""",520880,520880,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.351326082,103.9314788
159,"""TAMPINES VILLE RN""","""1. Permanent E-bin""","""842 TAMPINES STREET 82, TAMPINES VILLE RN, VOID DECK""",520842,520842,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.351738509,103.9359524
161,"""TECK GHEE CC""","""1. Permanent E-bin""","""861 ANG MO KIO AVENUE 10, REAR ENTRANCE""",569734,569734,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.363106005,103.8535605
162,"""TELOK BLANGAH CC""","""1. Permanent E-bin""","""450 TELOK BLANGAH STREET 31, TELOK BLANGAH CC, RECEPTION AREA""",108943,108943,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.274862657,103.8078754
163,"""TEMASEK POLYTECHNIC""","""1. Permanent E-bin""","""21 TAMPINES AVENUE 1, TEMASEK POLYTECHNIC, MAIN ENTRANCE FOYER""",529757,529757,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.34594607,103.9326315
164,"""THE CATHAY""","""1. Permanent E-bin""","""2 HANDY RD, THE CATHAY, LOADING BAY""",229233,229233,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299183738,103.8477898
165,"""THE CENTREPOINT""","""1. Permanent E-bin""","""176 ORCHARD ROAD, LEVEL 3""",238843,238843,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.301514467,103.8400544
166,"""THE GRANDSTAND (TURF CITY)""","""1. Permanent E-bin""","""200 TURF CLUB ROAD DBS THE GRANDSTAND, THE GRANDSTAND (TURF CITY), MAIN LOBBY CONCEIRGE""",287994,287994,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.337593733,103.7937074
167,"""THE REGENCY HOUSE - ALFA TECH""","""1. Permanent E-bin""","""123 PENANG ROAD, THE REGENCY HOUSE, LEVEL 1""",238465,238465,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299466435,103.8420472
169,"""THOMSON PLAZA""","""1. Permanent E-bin""","""301 UPPER THOMSON ROAD, THOMSON PLAZA, MAIN ENTRANCE""",574408,574408,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.354794362,103.8309249
170,"""TOA PAYOH CENTRAL CC""","""1. Permanent E-bin""","""93 TOA PAYOH CENTRAL, MAIN ENTRANCE""",319194,319194,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.334655721,103.8504439
171,"""TOA PAYOH EAST CC""","""1. Permanent E-bin""","""160 LORONG 6 TOA PAYOH, MAIN ENTRANCE""",319380,319380,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.336315365,103.8548484
172,"""TOA PAYOH SOUTH CC""","""1. Permanent E-bin""","""1999 LORONG 8 TOA PAYOH, MAIN ENTRANCE""",319258,319258,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.334890375,103.859379
173,"""TOA PAYOH VIEW RC""","""1. Permanent E-bin""","""122 LORONG 2 TOA PAYOH VIEW RC, READING CORNER""",310122,310122,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.33980524,103.8462812
174,"""TOA PAYOH WEST CC""","""1. Permanent E-bin""","""200 LORONG 2 TOA PAYOH, SIDE OF BUILDING""",319642,319642,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.33522125,103.8451058
175,"""ULU PANDAN CC""","""1. Permanent E-bin""","""170 GHIM MOH ROAD, CORRIDOR WALKWAY""",279621,279621,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.31205215,103.789581
176,"""UTOWN - STEPHEN RIADY CENTRE""","""1. Permanent E-bin""","""2 COLLEGE AVE WEST, UTOWN - STEPHEN RIADY CENTRE, LEVEL 1 IN FRONT OF WAACOW RESTAURANT""",138607,138607,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.304794833,103.7724616
177,"""VALLEY POINT""","""1. Permanent E-bin""","""491 RIVER VALLEY ROAD, VALLEY POINT, #03-01""",248371,248371,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.293099172,103.8270462
178,"""VISTA POINT""","""1. Permanent E-bin""","""548 WOODLANDS DRIVE 44, LEVEL 1""",730548,730548,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.430999316,103.7941016
179,"""WEST COAST CC""","""1. Permanent E-bin""","""2 CLEMENTI WEST STREET 2, WALKWAY CORRIDOR""",129605,129605,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.302855327,103.7650076
180,"""WESTWOOD PRIMARY SCHOOL""","""1. Permanent E-bin""","""1 JURONG WEST ST 71, SECURITY GUARD POST""",642648,642648,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.338387692,103.6981926
181,"""WHAMPOA CC""","""1. Permanent E-bin""","""300 WHAMPOA DRIVE, BESIDE CONSTITUENCY OFFICE""",327737,327737,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.324701288,103.8571053
182,"""WISMA GEYLANG SERAI CC""","""1. Permanent E-bin""","""1 ENGKU AMAN TURN, CC OFFICE ENTRANCE""",408528,408528,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.316494434,103.8969417
183,"""WISTERIA MALL""","""1. Permanent E-bin""","""598 YISHUN RING RD, WISTERIA MALL, BASEMENT 1 CARGO LIFT LOBBY""",768698,768698,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.417989691,103.8413173
184,"""WOODGROVE CC""","""1. Permanent E-bin""","""353 WOODLANDS AVENUE 1, WOODGROVE CC, VOID DECK""",730353,730353,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.431816487,103.7851624
185,"""WOODLANDS CC""","""1. Permanent E-bin""","""1 WOODLANDS STREET 81, WOODLANDS CC, MAIN ENTRANCE LOBBY""",738526,738526,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.439815124,103.7882442
186,"""WOODLANDS GALAXY CC""","""1. Permanent E-bin""","""31 WOODLANDS AVENUE 6, WOODLANDS GALAXY CC, CC OFFICE ENTRANCE""",738991,738991,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.439008031,103.8026576
187,"""WOODLANDS MART""","""1. Permanent E-bin""","""768 WOODLANDS AVENUE 6, WOODLANDS MART, MAIN LOBBY""",730768,730768,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.445750777,103.7981198
188,"""WOODLANDS PARK NC""","""1. Permanent E-bin""","""18 JALAN RASOK""",739633,739633,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.416158187,103.7587161
189,"""WOODLANDS ZONE 2 RN""","""1. Permanent E-bin""","""846 WOODLANDS AVENUE 4, WOODLANDS ZONE 2 RN, VOID DECK""",730846,730846,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.443426738,103.7936128
190,"""WOODLANDS ZONE 3 RN""","""1. Permanent E-bin""","""876 WOODLANDS STREET 83, WOODLANDS ZONE 3 RN, VOID DECK""",730876,730876,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.444796301,103.7906028
191,"""WOODLANDS ZONE 4 RN""","""1. Permanent E-bin""","""862 WOODLANDS STREET 83, WOODLANDS ZONE 4 RN, #01-184, VOID DECK""",730862,730862,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.439955084,103.7950489
192,"""WOODLANDS ZONE 7 RN""","""1. Permanent E-bin""","""611 WOODLANDS RING ROAD, WOODLANDS ZONE 7 RN, VOID DECK""",730611,730611,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.435426092,103.7969988
193,"""WOODLANDS ZONE 8 RN""","""1. Permanent E-bin""","""638 WOODLANDS RING ROAD, WOODLANDS ZONE 8 RN, VOID DECK""",730638,730638,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.436717378,103.8031925
194,"""WOODLANDS ZONE 9 RN""","""1. Permanent E-bin""","""656 WOODLANDS RING ROAD, WOODLANDS ZONE 9 RN, VOID DECK""",730656,730656,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.436985964,103.7991179
195,"""YEW TEE CC""","""1. Permanent E-bin""","""20 CHOA CHU KANG STREET 52, YEW TEE CC, MAIN ATRIUM""",689286,689286,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.394805646,103.7449713
196,"""YEW TEE SQUARE""","""1. Permanent E-bin""","""624 CHOA CHU KANG STREET 62, YEW TEE SQUARE, REAR ENTRANCE""",680622,680622,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.398277196,103.7471825
197,"""YIO CHU KANG CC""","""1. Permanent E-bin""","""50 ANG MO KIO STREET 61, MAIN LOBBY""",569163,569163,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.381325786,103.8414505
198,"""YUHUA CC""","""1. Permanent E-bin""","""90 BOON LAY WAY, MAIN LOBBY""",609958,609958,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.33997286,103.7370659
199,"""YUSOF ISHAK INSTITUTE""","""1. Permanent E-bin""","""30 HENG MUI KENG TERRACE, LEVEL 1""",119614,119614,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.290661309,103.7769816
200,"""ZHONGSHAN MALL""","""1. Permanent E-bin""","""20 AH HOOD ROAD, ZHONGSHAN MALL""",329984,329984,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.327029916,103.8464909
201,"""COLD STORAGE @ APERIA""","""2. Retailer E-bin""","""12 KALLANG AVE, APERIA, #01-47""",339511,339511,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.309711207,103.8643264
202,"""COLD STORAGE @ BUGIS JUNCTION""","""2. Retailer E-bin""","""230 VICTORIA STREET, BUGIS JUNCTION, #B1-17""",188021,188021,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299112875,103.8554112
203,"""COLD STORAGE @ CLUNY COURT""","""2. Retailer E-bin""","""501 BUKIT TIMAH ROAD, CLUNY COURT, #01-02""",259760,259760,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.322573169,103.8142455
204,"""COLD STORAGE @ COMPASS ONE""","""2. Retailer E-bin""","""1 SENGKANG SQUARE, COMPASS ONE, #B1-25""",545078,545078,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.392053142,103.8950705
205,"""COLD STORAGE @ GREAT WORLD CITY""","""2. Retailer E-bin""","""1 KIM SENG PROMENADE, GREAT WORLD CITY, #B1-18""",237994,237994,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.293172204,103.8320953
206,"""COLD STORAGE @ GUTHRIE HOUSE""","""2. Retailer E-bin""","""1 FIFTH AVENUE, GUTHRIE HOUSE, #01-05""",268802,268802,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.330817401,103.7956924
207,"""COLD STORAGE @ HILLVIEW MARKET PLACE""","""2. Retailer E-bin""","""4 HILLVIEW RISE, HILLVIEW MARKET PLACE, #02-07""",667979,667979,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.362674508,103.7641729
208,"""COLD STORAGE @ JELITA SHOPPING CENTRE""","""2. Retailer E-bin""","""293 HOLLAND ROAD, JELITA SHOPPING CENTRE, #01-01""",278628,278628,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.317545559,103.7858505
209,"""COLD STORAGE @ KALLANG LEISURE PARK""","""2. Retailer E-bin""","""5 STADIUM WALK, KALLANG LEISURE PARK, #B1-01""",397693,397693,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.302221774,103.8761527
211,"""COLD STORAGE @ NOVENA SQUARE""","""2. Retailer E-bin""","""238 THOMSON ROAD, NOVENA SQUARE, #01-28""",307683,307683,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.320211007,103.8436568
212,"""COLD STORAGE @ ONE NORTH""","""2. Retailer E-bin""","""1 FUSIONOPOLIS WAY, ONE NORTH, #B2-03""",138632,138632,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299510673,103.7875557
213,"""COLD STORAGE @ PARAGON""","""2. Retailer E-bin""","""290 ORCHARD ROAD, #B1-21""",238859,238859,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.303723217,103.8352403
214,"""COLD STORAGE @ PARKWAY PARADE""","""2. Retailer E-bin""","""80 MARINE PARADE ROAD, #B1-84""",449269,449269,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.30106068,103.9053395
215,"""COLD STORAGE @ PLAZA SINGAPURA""","""2. Retailer E-bin""","""68 ORCHARD ROAD, #B2-15""",238839,238839,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.300820718,103.8450673
216,"""COLD STORAGE @ RAFFLES CITY SHOPPING CENTRE""","""2. Retailer E-bin""","""1 STAMFORD ROAD, RAFFLES CITY SHOPPING CENTRE, #B1-01""",179103,179103,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.293760281,103.8527683
217,"""COLD STORAGE @ SIGLAP V""","""2. Retailer E-bin""","""2 FIRST STREET, #01-05""",458278,458278,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.312753297,103.9236579
218,"""COLD STORAGE @ TANGLIN MALL""","""2. Retailer E-bin""","""163 TANGLIN ROAD, TANGLIN MALL, #B1-01""",247933,247933,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.304853421,103.8238835
219,"""COLD STORAGE @ THE STAR VISTA""","""2. Retailer E-bin""","""1 VISTA EXCHANGE GREEN, THE STAR VISTA, #B1-02""",138617,138617,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.306815007,103.7884627
220,"""COLD STORAGE @ UE SQUARE""","""2. Retailer E-bin""","""81 CLEMENCEAU AVENUE, UE SQUARE, #02-15""",239917,239917,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.292259585,103.842561
221,"""COLD STORAGE @ UNITED SQUARE""","""2. Retailer E-bin""","""101 THOMSON ROAD, UNITED SQUARE, #B1-29""",307591,307591,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.317334643,103.8434632
222,"""COLD STORAGE @ WEST COAST PLAZA""","""2. Retailer E-bin""","""154 WEST COAST ROAD, WEST COAST PLAZA, #B1-19""",127371,127371,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.303586225,103.7661038
223,"""FAIRPRICE @ 10 BUKIT BATOK CENTRAL""","""2. Retailer E-bin""","""10 BUKIT BATOK CENTRAL, #01-08""",659958,659958,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.349033312,103.7495665
225,"""FAIRPRICE @ 111 SOMERSET RD""","""2. Retailer E-bin""","""111 SOMERSET RD, #01-21 TO 30""",238164,238164,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.300206257,103.8373171
226,"""FAIRPRICE @ 114 ALJUNIED AVE 2""","""2. Retailer E-bin""","""114 ALJUNIED AVE 2, #01-75""",380114,380114,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.321724552,103.8868071
227,"""FAIRPRICE @ 135 JURONG GATEWAY RD""","""2. Retailer E-bin""","""135 JURONG GATEWAY RD, #01-337""",600135,600135,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.333822942,103.739755
228,"""FAIRPRICE @ 140 TECK WHYE LANE""","""2. Retailer E-bin""","""140 TECK WHYE LANE, #01-351""",680140,680140,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.380018058,103.7531484
229,"""FAIRPRICE @ 166 BUKIT MERAH CENTRAL""","""2. Retailer E-bin""","""166 BUKIT MERAH CENTRAL, #01-3531 & 02-3531""",150166,150166,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.283092626,103.8176672
230,"""FAIRPRICE @ 18 TAI SENG ST MAPLE TREE""","""2. Retailer E-bin""","""18 TAI SENG ST MAPLE TREE 18, #B1-13""",539775,539775,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.336315575,103.8888256
231,"""FAIRPRICE @ 192 TOA PAYOH LOR 4""","""2. Retailer E-bin""","""192 TOA PAYOH LOR 4, #01-670/672""",310192,310192,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.331616833,103.8506237
232,"""FAIRPRICE @ 202 HOUGANG ST 21""","""2. Retailer E-bin""","""202 HOUGANG ST 21, #01-00""",530202,530202,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.357527728,103.8840289
